"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","I5101",""
"地域 コード","地域","調査年 コード","調査年","/項目","I5101_病院数【施設】","注釈"
"01202","北海道 函館市","2017100000","2017年度","","29",""
"01202","北海道 函館市","2016100000","2016年度","","29",""
"01202","北海道 函館市","2015100000","2015年度","","29",""
"01202","北海道 函館市","2014100000","2014年度","","29",""
"01202","北海道 函館市","2013100000","2013年度","","29",""
"01202","北海道 函館市","2012100000","2012年度","","29",""
"01202","北海道 函館市","2011100000","2011年度","","31",""
"01202","北海道 函館市","2010100000","2010年度","","31",""
"01202","北海道 函館市","2009100000","2009年度","","31",""
"01202","北海道 函館市","2008100000","2008年度","","31",""
"01202","北海道 函館市","2007100000","2007年度","","33",""
"01202","北海道 函館市","2006100000","2006年度","","33",""
"01202","北海道 函館市","2005100000","2005年度","","34",""
"01202","北海道 函館市","2004100000","2004年度","","34",""
"01202","北海道 函館市","2003100000","2003年度","","34",""
"01202","北海道 函館市","2002100000","2002年度","","34",""
"01202","北海道 函館市","2001100000","2001年度","","35",""
"01202","北海道 函館市","2000100000","2000年度","","36",""
"01202","北海道 函館市","1999100000","1999年度","","37",""
"01202","北海道 函館市","1998100000","1998年度","","38",""
"01202","北海道 函館市","1997100000","1997年度","","39",""
"01203","北海道 小樽市","2019100000","2019年度","","16",""
"01203","北海道 小樽市","2018100000","2018年度","","16",""
"01203","北海道 小樽市","2017100000","2017年度","","16",""
"01203","北海道 小樽市","2016100000","2016年度","","16",""
"01203","北海道 小樽市","2015100000","2015年度","","16",""
"01203","北海道 小樽市","2014100000","2014年度","","17",""
"01203","北海道 小樽市","2013100000","2013年度","","17",""
"01203","北海道 小樽市","2012100000","2012年度","","17",""
"01203","北海道 小樽市","2011100000","2011年度","","17",""
"01203","北海道 小樽市","2010100000","2010年度","","16",""
"01203","北海道 小樽市","2009100000","2009年度","","18",""
"01203","北海道 小樽市","2008100000","2008年度","","18",""
"01203","北海道 小樽市","2007100000","2007年度","","18",""
"01203","北海道 小樽市","2006100000","2006年度","","19",""
"01203","北海道 小樽市","2005100000","2005年度","","19",""
"01203","北海道 小樽市","2004100000","2004年度","","20",""
"01203","北海道 小樽市","2003100000","2003年度","","20",""
"01203","北海道 小樽市","2002100000","2002年度","","20",""
"01203","北海道 小樽市","2001100000","2001年度","","20",""
"01203","北海道 小樽市","2000100000","2000年度","","21",""
"01203","北海道 小樽市","1999100000","1999年度","","21",""
"01203","北海道 小樽市","1998100000","1998年度","","21",""
"01203","北海道 小樽市","1997100000","1997年度","","21",""
"01204","北海道 旭川市","2019100000","2019年度","","39",""
"01204","北海道 旭川市","2018100000","2018年度","","39",""
"01204","北海道 旭川市","2017100000","2017年度","","39",""
"01204","北海道 旭川市","2016100000","2016年度","","39",""
"01204","北海道 旭川市","2015100000","2015年度","","39",""
"01204","北海道 旭川市","2014100000","2014年度","","40",""
"01204","北海道 旭川市","2013100000","2013年度","","41",""
"01204","北海道 旭川市","2012100000","2012年度","","41",""
"01204","北海道 旭川市","2011100000","2011年度","","41",""
"01204","北海道 旭川市","2010100000","2010年度","","41",""
"01204","北海道 旭川市","2009100000","2009年度","","42",""
"01204","北海道 旭川市","2008100000","2008年度","","42",""
"01204","北海道 旭川市","2007100000","2007年度","","42",""
"01204","北海道 旭川市","2006100000","2006年度","","42",""
"01204","北海道 旭川市","2005100000","2005年度","","42",""
"01204","北海道 旭川市","2004100000","2004年度","","42",""
"01204","北海道 旭川市","2003100000","2003年度","","43",""
"01204","北海道 旭川市","2002100000","2002年度","","44",""
"01204","北海道 旭川市","2001100000","2001年度","","44",""
"01204","北海道 旭川市","2000100000","2000年度","","44",""
"01204","北海道 旭川市","1999100000","1999年度","","42",""
"01204","北海道 旭川市","1998100000","1998年度","","44",""
"01204","北海道 旭川市","1997100000","1997年度","","44",""
"01205","北海道 室蘭市","2019100000","2019年度","","7",""
"01205","北海道 室蘭市","2018100000","2018年度","","7",""
"01205","北海道 室蘭市","2017100000","2017年度","","7",""
"01205","北海道 室蘭市","2016100000","2016年度","","7",""
"01205","北海道 室蘭市","2015100000","2015年度","","7",""
"01205","北海道 室蘭市","2014100000","2014年度","","7",""
"01205","北海道 室蘭市","2013100000","2013年度","","7",""
"01205","北海道 室蘭市","2012100000","2012年度","","7",""
"01205","北海道 室蘭市","2011100000","2011年度","","7",""
"01205","北海道 室蘭市","2010100000","2010年度","","7",""
"01205","北海道 室蘭市","2009100000","2009年度","","7",""
"01205","北海道 室蘭市","2008100000","2008年度","","7",""
"01205","北海道 室蘭市","2007100000","2007年度","","7",""
"01205","北海道 室蘭市","2006100000","2006年度","","7",""
"01205","北海道 室蘭市","2005100000","2005年度","","7",""
"01205","北海道 室蘭市","2004100000","2004年度","","7",""
"01205","北海道 室蘭市","2003100000","2003年度","","7",""
"01205","北海道 室蘭市","2002100000","2002年度","","7",""
"01205","北海道 室蘭市","2001100000","2001年度","","7",""
"01205","北海道 室蘭市","2000100000","2000年度","","7",""
"01205","北海道 室蘭市","1999100000","1999年度","","7",""
"01205","北海道 室蘭市","1998100000","1998年度","","8",""
"01205","北海道 室蘭市","1997100000","1997年度","","9",""
"01206","北海道 釧路市","2019100000","2019年度","","17",""
"01206","北海道 釧路市","2018100000","2018年度","","17",""
"01206","北海道 釧路市","2017100000","2017年度","","17",""
"01206","北海道 釧路市","2016100000","2016年度","","17",""
"01206","北海道 釧路市","2015100000","2015年度","","17",""
"01206","北海道 釧路市","2014100000","2014年度","","17",""
"01206","北海道 釧路市","2013100000","2013年度","","18",""
"01206","北海道 釧路市","2012100000","2012年度","","18",""
"01206","北海道 釧路市","2011100000","2011年度","","18",""
"01206","北海道 釧路市","2010100000","2010年度","","18",""
"01206","北海道 釧路市","2009100000","2009年度","","18",""
"01206","北海道 釧路市","2008100000","2008年度","","18",""
"01206","北海道 釧路市","2007100000","2007年度","","18",""
"01206","北海道 釧路市","2006100000","2006年度","","18",""
"01206","北海道 釧路市","2005100000","2005年度","","18",""
"01206","北海道 釧路市","2004100000","2004年度","","19",""
"01206","北海道 釧路市","2003100000","2003年度","","19",""
"01206","北海道 釧路市","2002100000","2002年度","","20",""
"01206","北海道 釧路市","2001100000","2001年度","","20",""
"01206","北海道 釧路市","2000100000","2000年度","","20",""
"01206","北海道 釧路市","1999100000","1999年度","","21",""
"01206","北海道 釧路市","1998100000","1998年度","","21",""
"01206","北海道 釧路市","1997100000","1997年度","","20",""
"01207","北海道 帯広市","2019100000","2019年度","","19",""
"01207","北海道 帯広市","2018100000","2018年度","","19",""
"01207","北海道 帯広市","2017100000","2017年度","","19",""
"01207","北海道 帯広市","2016100000","2016年度","","19",""
"01207","北海道 帯広市","2015100000","2015年度","","18",""
"01207","北海道 帯広市","2014100000","2014年度","","18",""
"01207","北海道 帯広市","2013100000","2013年度","","17",""
"01207","北海道 帯広市","2012100000","2012年度","","17",""
"01207","北海道 帯広市","2011100000","2011年度","","17",""
"01207","北海道 帯広市","2010100000","2010年度","","17",""
"01207","北海道 帯広市","2009100000","2009年度","","17",""
"01207","北海道 帯広市","2008100000","2008年度","","17",""
"01207","北海道 帯広市","2007100000","2007年度","","18",""
"01207","北海道 帯広市","2006100000","2006年度","","18",""
"01207","北海道 帯広市","2005100000","2005年度","","19",""
"01207","北海道 帯広市","2004100000","2004年度","","19",""
"01207","北海道 帯広市","2003100000","2003年度","","20",""
"01207","北海道 帯広市","2002100000","2002年度","","20",""
"01207","北海道 帯広市","2001100000","2001年度","","20",""
"01207","北海道 帯広市","2000100000","2000年度","","20",""
"01207","北海道 帯広市","1999100000","1999年度","","20",""
"01207","北海道 帯広市","1998100000","1998年度","","20",""
"01207","北海道 帯広市","1997100000","1997年度","","20",""
"01208","北海道 北見市","2019100000","2019年度","","14",""
"01208","北海道 北見市","2018100000","2018年度","","14",""
"01208","北海道 北見市","2017100000","2017年度","","14",""
"01208","北海道 北見市","2016100000","2016年度","","14",""
"01208","北海道 北見市","2015100000","2015年度","","14",""
"01208","北海道 北見市","2014100000","2014年度","","14",""
"01208","北海道 北見市","2013100000","2013年度","","14",""
"01208","北海道 北見市","2012100000","2012年度","","15",""
"01208","北海道 北見市","2011100000","2011年度","","15",""
"01208","北海道 北見市","2010100000","2010年度","","15",""
"01208","北海道 北見市","2009100000","2009年度","","15",""
"01208","北海道 北見市","2008100000","2008年度","","15",""
