"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","#A03504","","#A03506",""
"地域 コード","地域","調査年 コード","調査年","/項目","#A03504_15歳未満人口割合【％】","注釈","#A03506_65歳以上人口割合【％】","注釈"
"01221","北海道 名寄市","1980100000","1980年度","","22.758","","9.007",""
"01222","北海道 三笠市","2015100000","2015年度","","7.647","","46.067",""
"01222","北海道 三笠市","2010100000","2010年度","","7.563","","42.334",""
"01222","北海道 三笠市","2005100000","2005年度","","8.175","","38.308",""
"01222","北海道 三笠市","2000100000","2000年度","","9.166","","34.090",""
"01222","北海道 三笠市","1995100000","1995年度","","10.175","","27.593",""
"01222","北海道 三笠市","1990100000","1990年度","","12.329","","21.837",""
"01222","北海道 三笠市","1985100000","1985年度","","16.317","","15.229",""
"01222","北海道 三笠市","1980100000","1980年度","","18.118","","12.445",""
"01223","北海道 根室市","2015100000","2015年度","","11.268","","30.780",""
"01223","北海道 根室市","2010100000","2010年度","","12.208","","26.479",""
"01223","北海道 根室市","2005100000","2005年度","","13.813","","22.515",""
"01223","北海道 根室市","2000100000","2000年度","","15.324","","18.030",""
"01223","北海道 根室市","1995100000","1995年度","","17.241","","14.167",""
"01223","北海道 根室市","1990100000","1990年度","","19.891","","11.162",""
"01223","北海道 根室市","1985100000","1985年度","","22.731","","8.856",""
"01223","北海道 根室市","1980100000","1980年度","","25.506","","7.332",""
"01224","北海道 千歳市","2015100000","2015年度","","14.191","","20.888",""
"01224","北海道 千歳市","2010100000","2010年度","","14.832","","17.406",""
"01224","北海道 千歳市","2005100000","2005年度","","15.719","","14.722",""
"01224","北海道 千歳市","2000100000","2000年度","","16.862","","11.741",""
"01224","北海道 千歳市","1995100000","1995年度","","18.704","","8.998",""
"01224","北海道 千歳市","1990100000","1990年度","","20.788","","6.729",""
"01224","北海道 千歳市","1985100000","1985年度","","24.143","","5.321",""
"01224","北海道 千歳市","1980100000","1980年度","","25.707","","4.396",""
"01225","北海道 滝川市","2015100000","2015年度","","10.818","","32.416",""
"01225","北海道 滝川市","2010100000","2010年度","","11.888","","27.593",""
"01225","北海道 滝川市","2005100000","2005年度","","12.758","","23.937",""
"01225","北海道 滝川市","2000100000","2000年度","","14.165","","19.965",""
"01225","北海道 滝川市","1995100000","1995年度","","15.632","","16.029",""
"01225","北海道 滝川市","1990100000","1990年度","","17.870","","12.849",""
"01225","北海道 滝川市","1985100000","1985年度","","21.433","","9.972",""
"01225","北海道 滝川市","1980100000","1980年度","","23.715","","8.408",""
"01226","北海道 砂川市","2015100000","2015年度","","9.936","","36.114",""
"01226","北海道 砂川市","2010100000","2010年度","","11.267","","31.129",""
"01226","北海道 砂川市","2005100000","2005年度","","12.019","","27.985",""
"01226","北海道 砂川市","2000100000","2000年度","","12.794","","23.595",""
"01226","北海道 砂川市","1995100000","1995年度","","14.603","","19.123",""
"01226","北海道 砂川市","1990100000","1990年度","","17.471","","14.534",""
"01226","北海道 砂川市","1985100000","1985年度","","20.166","","11.615",""
"01226","北海道 砂川市","1980100000","1980年度","","21.436","","9.446",""
"01227","北海道 歌志内市","2015100000","2015年度","","6.053","","46.639",""
"01227","北海道 歌志内市","2010100000","2010年度","","7.682","","41.213",""
"01227","北海道 歌志内市","2005100000","2005年度","","8.542","","36.794",""
"01227","北海道 歌志内市","2000100000","2000年度","","9.493","","32.638",""
"01227","北海道 歌志内市","1995100000","1995年度","","12.276","","26.198",""
"01227","北海道 歌志内市","1990100000","1990年度","","15.594","","19.543",""
"01227","北海道 歌志内市","1985100000","1985年度","","17.000","","15.626",""
"01227","北海道 歌志内市","1980100000","1980年度","","17.194","","13.107",""
"01228","北海道 深川市","2015100000","2015年度","","9.106","","39.326",""
"01228","北海道 深川市","2010100000","2010年度","","9.680","","34.940",""
"01228","北海道 深川市","2005100000","2005年度","","10.794","","30.594",""
"01228","北海道 深川市","2000100000","2000年度","","11.701","","26.009",""
"01228","北海道 深川市","1995100000","1995年度","","13.274","","21.634",""
"01228","北海道 深川市","1990100000","1990年度","","15.441","","17.590",""
"01228","北海道 深川市","1985100000","1985年度","","18.470","","13.939",""
"01228","北海道 深川市","1980100000","1980年度","","21.359","","11.612",""
"01229","北海道 富良野市","2015100000","2015年度","","11.702","","30.938",""
"01229","北海道 富良野市","2010100000","2010年度","","13.005","","26.844",""
"01229","北海道 富良野市","2005100000","2005年度","","14.229","","24.597",""
"01229","北海道 富良野市","2000100000","2000年度","","15.575","","21.312",""
"01229","北海道 富良野市","1995100000","1995年度","","16.870","","17.738",""
"01229","北海道 富良野市","1990100000","1990年度","","18.612","","14.480",""
"01229","北海道 富良野市","1985100000","1985年度","","20.634","","11.878",""
"01229","北海道 富良野市","1980100000","1980年度","","22.611","","9.576",""
"01230","北海道 登別市","2015100000","2015年度","","10.704","","33.455",""
"01230","北海道 登別市","2010100000","2010年度","","11.812","","28.358",""
"01230","北海道 登別市","2005100000","2005年度","","12.250","","24.588",""
"01230","北海道 登別市","2000100000","2000年度","","13.314","","20.264",""
"01230","北海道 登別市","1995100000","1995年度","","14.675","","16.081",""
"01230","北海道 登別市","1990100000","1990年度","","17.272","","13.124",""
"01230","北海道 登別市","1985100000","1985年度","","21.184","","9.760",""
"01230","北海道 登別市","1980100000","1980年度","","24.004","","7.081",""
"01231","北海道 恵庭市","2015100000","2015年度","","13.101","","25.057",""
"01231","北海道 恵庭市","2010100000","2010年度","","13.966","","20.793",""
"01231","北海道 恵庭市","2005100000","2005年度","","15.102","","17.522",""
"01231","北海道 恵庭市","2000100000","2000年度","","16.279","","14.275",""
"01231","北海道 恵庭市","1995100000","1995年度","","18.178","","10.718",""
"01231","北海道 恵庭市","1990100000","1990年度","","20.640","","8.205",""
"01231","北海道 恵庭市","1985100000","1985年度","","23.449","","6.691",""
"01231","北海道 恵庭市","1980100000","1980年度","","25.891","","5.407",""
"01233","北海道 伊達市","2015100000","2015年度","","11.333","","34.596",""
"01233","北海道 伊達市","2010100000","2010年度","","11.787","","30.432",""
"01233","北海道 伊達市","2005100000","2005年度","","12.451","","27.017",""
"01233","北海道 伊達市","2000100000","2000年度","","12.879","","23.474",""
"01233","北海道 伊達市","1995100000","1995年度","","14.899","","19.240",""
"01233","北海道 伊達市","1990100000","1990年度","","17.374","","15.988",""
"01233","北海道 伊達市","1985100000","1985年度","","20.857","","13.144",""
"01233","北海道 伊達市","1980100000","1980年度","","23.226","","10.039",""
"01234","北海道 北広島市","2015100000","2015年度","","12.212","","28.957",""
"01234","北海道 北広島市","2010100000","2010年度","","13.393","","22.446",""
"01234","北海道 北広島市","2005100000","2005年度","","14.127","","18.182",""
"01234","北海道 北広島市","2000100000","2000年度","","15.208","","15.110",""
"01234","北海道 北広島市","1995100000","1995年度","","17.799","","12.358",""
"01234","北海道 北広島市","1990100000","1990年度","","21.261","","9.942",""
"01234","北海道 北広島市","1985100000","1985年度","","25.631","","8.056",""
"01234","北海道 北広島市","1980100000","1980年度","","28.215","","6.343",""
"01235","北海道 石狩市","2015100000","2015年度","","12.910","","29.997",""
"01235","北海道 石狩市","2010100000","2010年度","","13.563","","23.148",""
"01235","北海道 石狩市","2005100000","2005年度","","13.783","","19.285",""
"01235","北海道 石狩市","2000100000","2000年度","","14.544","","16.240",""
"01235","北海道 石狩市","1995100000","1995年度","","17.532","","13.539",""
"01235","北海道 石狩市","1990100000","1990年度","","21.734","","10.844",""
"01235","北海道 石狩市","1985100000","1985年度","","25.904","","8.806",""
"01235","北海道 石狩市","1980100000","1980年度","","27.220","","7.395",""
"01236","北海道 北斗市","2015100000","2015年度","","13.695","","26.508",""
"01236","北海道 北斗市","2010100000","2010年度","","15.025","","22.379",""
"01236","北海道 北斗市","2005100000","2005年度","","15.746","","19.673",""
"01236","北海道 北斗市","2000100000","2000年度","","16.407","","17.223",""
"01236","北海道 北斗市","1995100000","1995年度","","17.167","","15.159",""
"01236","北海道 北斗市","1990100000","1990年度","","18.789","","12.803",""
"01236","北海道 北斗市","1985100000","1985年度","","21.847","","10.815",""
"01236","北海道 北斗市","1980100000","1980年度","","23.547","","9.310",""
"01303","北海道 当別町","2015100000","2015年度","","8.954","","30.154",""
"01303","北海道 当別町","2010100000","2010年度","","11.500","","24.480",""
"01303","北海道 当別町","2005100000","2005年度","","14.608","","20.278",""
"01303","北海道 当別町","2000100000","2000年度","","16.951","","16.960",""
"01303","北海道 当別町","1995100000","1995年度","","17.980","","14.564",""
"01303","北海道 当別町","1990100000","1990年度","","16.316","","14.161",""
"01303","北海道 当別町","1985100000","1985年度","","19.658","","11.171",""
"01303","北海道 当別町","1980100000","1980年度","","21.835","","9.217",""
"01304","北海道 新篠津村","2015100000","2015年度","","10.724","","33.043",""
"01304","北海道 新篠津村","2010100000","2010年度","","11.437","","29.986",""
"01304","北海道 新篠津村","2005100000","2005年度","","12.791","","26.974",""
