地域コード,地域,調査年コード,調査年,15歳未満人口割合,65歳以上人口割合,課税対象所得
1343,北海道 鹿部町,2015,2015年度,10.009,35.92,4107024.0
1343,北海道 鹿部町,2010,2010年度,11.244,27.69,3988398.0
1343,北海道 鹿部町,2005,2005年度,14.149,22.708,4089588.0
1343,北海道 鹿部町,2000,2000年度,17.139,18.26,4774934.0
1343,北海道 鹿部町,1995,1995年度,20.178,14.828,4572662.0
1343,北海道 鹿部町,1990,1990年度,22.494,11.549,3573363.0
1345,北海道 森町,2015,2015年度,11.257,34.654,15908279.0
1345,北海道 森町,2010,2010年度,12.235,29.184,15338435.0
1345,北海道 森町,2005,2005年度,13.009,25.704,16927700.0
1345,北海道 森町,2000,2000年度,13.725,23.002,20979294.0
1345,北海道 森町,1995,1995年度,15.776,18.942,20525160.0
1345,北海道 森町,1990,1990年度,18.91,15.229,16593897.0
1346,北海道 八雲町,2015,2015年度,11.402,31.121,20591658.0
1346,北海道 八雲町,2010,2010年度,12.378,26.656,20040892.0
1346,北海道 八雲町,2005,2005年度,13.487,24.177,22296826.0
1346,北海道 八雲町,2000,2000年度,15.235,21.294,26310322.0
1346,北海道 八雲町,1995,1995年度,17.844,18.727,25317715.0
1346,北海道 八雲町,1990,1990年度,20.575,15.189,20706734.0
1347,北海道 長万部町,2015,2015年度,8.556,36.956,6465550.0
1347,北海道 長万部町,2010,2010年度,9.114,34.951,5622802.0
1347,北海道 長万部町,2005,2005年度,10.053,33.628,5893894.0
1347,北海道 長万部町,2000,2000年度,12.002,27.913,7212240.0
1347,北海道 長万部町,1995,1995年度,14.307,22.266,7956276.0
1347,北海道 長万部町,1990,1990年度,16.128,17.015,7087966.0
1361,北海道 江差町,2015,2015年度,9.918,34.42,8858268.0
1361,北海道 江差町,2010,2010年度,11.562,30.453,9496950.0
1361,北海道 江差町,2005,2005年度,12.684,26.444,11128165.0
1361,北海道 江差町,2000,2000年度,14.052,21.818,14248704.0
1361,北海道 江差町,1995,1995年度,16.68,18.016,14859052.0
1361,北海道 江差町,1990,1990年度,19.536,14.958,11631566.0
1362,北海道 上ノ国町,2015,2015年度,10.377,39.848,4635818.0
1362,北海道 上ノ国町,2010,2010年度,11.514,33.917,4636399.0
1362,北海道 上ノ国町,2005,2005年度,13.48,29.422,5577765.0
1362,北海道 上ノ国町,2000,2000年度,14.402,24.133,7307848.0
1362,北海道 上ノ国町,1995,1995年度,16.223,20.474,7700016.0
1362,北海道 上ノ国町,1990,1990年度,18.046,17.039,5439597.0
1363,北海道 厚沢部町,2015,2015年度,10.867,38.429,3916612.0
1363,北海道 厚沢部町,2010,2010年度,10.978,34.747,4434242.0
1363,北海道 厚沢部町,2005,2005年度,11.33,31.77,4423111.0
1363,北海道 厚沢部町,2000,2000年度,12.458,27.953,5798194.0
1363,北海道 厚沢部町,1995,1995年度,14.262,23.528,5521606.0
1363,北海道 厚沢部町,1990,1990年度,16.994,18.175,4329371.0
1364,北海道 乙部町,2015,2015年度,9.857,40.399,3416527.0
1364,北海道 乙部町,2010,2010年度,11.23,34.392,3523607.0
1364,北海道 乙部町,2005,2005年度,12.313,30.046,4219982.0
1364,北海道 乙部町,2000,2000年度,13.397,24.674,5360670.0
1364,北海道 乙部町,1995,1995年度,15.751,21.136,5714261.0
1364,北海道 乙部町,1990,1990年度,17.801,16.886,4272735.0
1367,北海道 奥尻町,2015,2015年度,9.405,36.989,3386842.0
1367,北海道 奥尻町,2010,2010年度,10.452,32.74,3492785.0
1367,北海道 奥尻町,2005,2005年度,12.874,27.422,4403314.0
1367,北海道 奥尻町,2000,2000年度,13.568,24.126,5689456.0
1367,北海道 奥尻町,1995,1995年度,16.461,18.182,5911155.0
1367,北海道 奥尻町,1990,1990年度,20.004,15.595,3921923.0
1370,北海道 今金町,2015,2015年度,10.057,37.26,5408460.0
1370,北海道 今金町,2010,2010年度,10.653,33.091,5370116.0
1370,北海道 今金町,2005,2005年度,12.079,30.08,5799941.0
1370,北海道 今金町,2000,2000年度,13.322,25.5,7355004.0
1370,北海道 今金町,1995,1995年度,16.62,20.557,7449720.0
1370,北海道 今金町,1990,1990年度,18.923,16.2,5509853.0
1371,北海道 せたな町,2015,2015年度,8.84,42.358,7263097.0
1371,北海道 せたな町,2010,2010年度,10.626,37.643,7698675.0
1371,北海道 せたな町,2005,2005年度,11.565,33.448,9190933.0
1371,北海道 せたな町,2000,2000年度,12.371,28.652,11557957.0
1371,北海道 せたな町,1995,1995年度,14.599,23.887,11919070.0
1371,北海道 せたな町,1990,1990年度,16.954,18.762,8880292.0
1391,北海道 島牧村,2015,2015年度,7.872,40.56,1353728.0
1391,北海道 島牧村,2010,2010年度,10.051,37.956,1389832.0
1391,北海道 島牧村,2005,2005年度,11.072,35.22,1549637.0
1391,北海道 島牧村,2000,2000年度,12.365,29.811,1886002.0
1391,北海道 島牧村,1995,1995年度,14.429,26.51,1747719.0
1391,北海道 島牧村,1990,1990年度,15.388,20.304,1526364.0
1392,北海道 寿都町,2015,2015年度,10.169,36.978,3147956.0
1392,北海道 寿都町,2010,2010年度,9.759,35.289,3210907.0
1392,北海道 寿都町,2005,2005年度,10.043,32.345,3837898.0
1392,北海道 寿都町,2000,2000年度,11.351,29.849,4460358.0
1392,北海道 寿都町,1995,1995年度,14.552,26.061,4362379.0
1392,北海道 寿都町,1990,1990年度,16.9,21.449,3755573.0
1393,北海道 黒松内町,2015,2015年度,11.291,37.346,2731981.0
1393,北海道 黒松内町,2010,2010年度,12.246,35.477,2872288.0
1393,北海道 黒松内町,2005,2005年度,13.104,31.415,3325153.0
1393,北海道 黒松内町,2000,2000年度,14.246,28.381,3794881.0
1393,北海道 黒松内町,1995,1995年度,14.09,23.51,3671157.0
1393,北海道 黒松内町,1990,1990年度,16.196,20.499,3082171.0
1394,北海道 蘭越町,2015,2015年度,10.448,37.188,4586408.0
1394,北海道 蘭越町,2010,2010年度,12.113,32.993,4424025.0
1394,北海道 蘭越町,2005,2005年度,13.22,30.265,5223386.0
1394,北海道 蘭越町,2000,2000年度,13.467,27.466,6211314.0
1394,北海道 蘭越町,1995,1995年度,15.891,24.589,7341444.0
1394,北海道 蘭越町,1990,1990年度,18.079,19.539,5511956.0
1395,北海道 ニセコ町,2015,2015年度,13.15,26.664,4893075.0
1395,北海道 ニセコ町,2010,2010年度,12.212,25.026,4474078.0
1395,北海道 ニセコ町,2005,2005年度,13.129,24.802,4378075.0
1395,北海道 ニセコ町,2000,2000年度,14.43,23.743,4239141.0
1395,北海道 ニセコ町,1995,1995年度,16.57,19.866,4078411.0
1395,北海道 ニセコ町,1990,1990年度,17.601,17.845,3162469.0
1396,北海道 真狩村,2015,2015年度,11.365,33.191,2373621.0
