"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","C120110",""
"地域 コード","地域","調査年 コード","調査年","/項目","C120110_課税対象所得【千円】","注釈"
"01202","北海道 函館市","2001100000","2001年度","","362,485,424",""
"01203","北海道 小樽市","2020100000","2020年度","","120,872,719",""
"01203","北海道 小樽市","2019100000","2019年度","","122,246,388",""
"01203","北海道 小樽市","2018100000","2018年度","","121,623,457",""
"01203","北海道 小樽市","2017100000","2017年度","","120,466,553",""
"01203","北海道 小樽市","2016100000","2016年度","","119,542,309",""
"01203","北海道 小樽市","2015100000","2015年度","","119,533,070",""
"01203","北海道 小樽市","2014100000","2014年度","","121,230,962",""
"01203","北海道 小樽市","2013100000","2013年度","","121,313,079",""
"01203","北海道 小樽市","2012100000","2012年度","","124,561,566",""
"01203","北海道 小樽市","2011100000","2011年度","","125,409,148",""
"01203","北海道 小樽市","2010100000","2010年度","","128,449,614",""
"01203","北海道 小樽市","2009100000","2009年度","","136,423,391",""
"01203","北海道 小樽市","2008100000","2008年度","","143,558,199",""
"01203","北海道 小樽市","2007100000","2007年度","","148,066,768",""
"01203","北海道 小樽市","2006100000","2006年度","","152,234,909",""
"01203","北海道 小樽市","2005100000","2005年度","","145,718,296",""
"01203","北海道 小樽市","2004100000","2004年度","","147,984,692",""
"01203","北海道 小樽市","2003100000","2003年度","","154,967,993",""
"01203","北海道 小樽市","2002100000","2002年度","","162,346,104",""
"01203","北海道 小樽市","2001100000","2001年度","","169,007,670",""
"01204","北海道 旭川市","2020100000","2020年度","","403,911,656",""
"01204","北海道 旭川市","2019100000","2019年度","","399,940,160",""
"01204","北海道 旭川市","2018100000","2018年度","","398,298,889",""
"01204","北海道 旭川市","2017100000","2017年度","","390,992,275",""
"01204","北海道 旭川市","2016100000","2016年度","","386,447,419",""
"01204","北海道 旭川市","2015100000","2015年度","","380,049,303",""
"01204","北海道 旭川市","2014100000","2014年度","","373,859,616",""
"01204","北海道 旭川市","2013100000","2013年度","","372,494,192",""
"01204","北海道 旭川市","2012100000","2012年度","","367,838,574",""
"01204","北海道 旭川市","2011100000","2011年度","","367,952,295",""
"01204","北海道 旭川市","2010100000","2010年度","","369,594,702",""
"01204","北海道 旭川市","2009100000","2009年度","","385,045,800",""
"01204","北海道 旭川市","2008100000","2008年度","","394,864,605",""
"01204","北海道 旭川市","2007100000","2007年度","","400,721,388",""
"01204","北海道 旭川市","2006100000","2006年度","","409,209,950",""
"01204","北海道 旭川市","2005100000","2005年度","","393,709,835",""
"01204","北海道 旭川市","2004100000","2004年度","","396,876,843",""
"01204","北海道 旭川市","2003100000","2003年度","","409,117,998",""
"01204","北海道 旭川市","2002100000","2002年度","","425,535,185",""
"01204","北海道 旭川市","2001100000","2001年度","","434,362,407",""
"01205","北海道 室蘭市","2020100000","2020年度","","104,235,409",""
"01205","北海道 室蘭市","2019100000","2019年度","","109,236,062",""
"01205","北海道 室蘭市","2018100000","2018年度","","102,405,024",""
"01205","北海道 室蘭市","2017100000","2017年度","","102,448,897",""
"01205","北海道 室蘭市","2016100000","2016年度","","102,278,511",""
"01205","北海道 室蘭市","2015100000","2015年度","","102,184,822",""
"01205","北海道 室蘭市","2014100000","2014年度","","104,006,376",""
"01205","北海道 室蘭市","2013100000","2013年度","","103,956,494",""
"01205","北海道 室蘭市","2012100000","2012年度","","106,330,561",""
"01205","北海道 室蘭市","2011100000","2011年度","","107,780,480",""
"01205","北海道 室蘭市","2010100000","2010年度","","109,714,952",""
"01205","北海道 室蘭市","2009100000","2009年度","","115,177,759",""
"01205","北海道 室蘭市","2008100000","2008年度","","117,611,357",""
"01205","北海道 室蘭市","2007100000","2007年度","","116,878,839",""
"01205","北海道 室蘭市","2006100000","2006年度","","116,992,160",""
"01205","北海道 室蘭市","2005100000","2005年度","","109,323,338",""
"01205","北海道 室蘭市","2004100000","2004年度","","108,107,285",""
"01205","北海道 室蘭市","2003100000","2003年度","","111,525,520",""
"01205","北海道 室蘭市","2002100000","2002年度","","117,801,604",""
"01205","北海道 室蘭市","2001100000","2001年度","","120,107,172",""
"01206","北海道 釧路市","2020100000","2020年度","","204,106,396",""
"01206","北海道 釧路市","2019100000","2019年度","","203,533,185",""
"01206","北海道 釧路市","2018100000","2018年度","","201,819,258",""
"01206","北海道 釧路市","2017100000","2017年度","","199,822,243",""
"01206","北海道 釧路市","2016100000","2016年度","","197,345,064",""
"01206","北海道 釧路市","2015100000","2015年度","","194,546,841",""
"01206","北海道 釧路市","2014100000","2014年度","","192,640,141",""
"01206","北海道 釧路市","2013100000","2013年度","","190,979,826",""
"01206","北海道 釧路市","2012100000","2012年度","","192,929,571",""
"01206","北海道 釧路市","2011100000","2011年度","","194,497,092",""
"01206","北海道 釧路市","2010100000","2010年度","","197,585,535",""
"01206","北海道 釧路市","2009100000","2009年度","","206,842,470",""
"01206","北海道 釧路市","2008100000","2008年度","","213,946,279",""
"01206","北海道 釧路市","2007100000","2007年度","","216,321,171",""
"01206","北海道 釧路市","2006100000","2006年度","","221,323,574",""
"01206","北海道 釧路市","2005100000","2005年度","","217,100,164",""
"01206","北海道 釧路市","2004100000","2004年度","","217,347,266",""
"01206","北海道 釧路市","2003100000","2003年度","","226,149,770",""
"01206","北海道 釧路市","2002100000","2002年度","","240,571,656",""
"01206","北海道 釧路市","2001100000","2001年度","","249,142,044",""
"01207","北海道 帯広市","2020100000","2020年度","","236,724,353",""
"01207","北海道 帯広市","2019100000","2019年度","","233,657,192",""
"01207","北海道 帯広市","2018100000","2018年度","","229,507,732",""
